"id","title","original_title","overview","language_name","release_date","release_year","decade","popularity","vote_average","vote_count","runtime","runtime_category","primary_genre","genre_string","keywords_str","poster_url","is_hidden_gem"
"280165","Thani Oruvan","தனி ஒருவன்","An idealistic cop and an ambitious scientist-businessman indulge in a high-stake battle of wits.","Tamil","2015-08-28","2015","2010","0.8291","7.4","96","159","Very Long","Thriller","Thriller, Action","police hunt, archvillain","https://image.tmdb.org/t/p/w500/90ZpZw1qZlt0RUVByJATFVUEeEm.jpg","False"
"459008","Kaala","காலா","Karikaalan consistently fights to keep the people of Dharavi, a slum in Mumbai, safe from the clutches of mighty politicians and the land mafia don, Hari Dhadha.","Tamil","2018-06-07","2018","2010","0.8176","6.514","70","166","Very Long","Action","Action, Crime, Drama","period drama","https://image.tmdb.org/t/p/w500/xVAZZN4Av3e6YxwLgUWTYDNtta1.jpg","False"
"23767","Billa","பில்லா","The intertwined stories of an international Don in Malaysia, David Billa, chased by the cops, an Indian police officer, a woman who wants to avenge the death of her brother, and a lowly thief, Velu who shares with Billa, an unusual connection.","Tamil","2007-12-14","2007","2000","1.0822","6.6","62","130","Long","Action","Action, Thriller","gangster, remake, revenge, look-alike","https://image.tmdb.org/t/p/w500/wpvEmE3xsb1N3AmLotORbZwrdOR.jpg","False"
"456218","Theeran Adhigaaram Ondru","தீரன் அதிகாரம் ஒன்று","A hardnosed cop goes after a gang of ruthless dacoits who have been terrorising residents along the highway for a decade.","Tamil","2017-11-17","2017","2010","0.7879","7.799","77","157","Very Long","Action","Action, Thriller","based on true story, bandit, true crime, dacoits","https://image.tmdb.org/t/p/w500/ocRAXgjqCO8n4sVNxjKLqr1waMy.jpg","False"
"410481","Thupparivaalan","துப்பறிவாளன்","Detective Kaniyan Poonkundran is hungry for a challenging case to investigate and the mystery of a murdered dog leads to a rival who could be the match for him.","Tamil","2017-09-14","2017","2010","0.6438","7.2","50","159","Very Long","Action","Action, Crime, Thriller","serial killer, private detective, artificial lightning","https://image.tmdb.org/t/p/w500/jG10W7dT4tHb4dqJ9sB2miClGP7.jpg","False"
"62756","Singam","சிங்கம்","The story, set in the backdrop of Nallore, a small town in Thoothukudi District, revolves around Sub-Inspector Durai Singam, a brave and just policeman who serves in his hometown primarily to fulfill his father’s wish. Durai Singam settles every dispute in his town patiently with his words of wisdom and resorts to force only when the situation demands it. Kavya, a city girl who comes on vacation to Nallore, falls in love with Durai Singam. Erimalai, Durai Singam's bumbling colleague and friend, often accompanies him.","Tamil","2010-05-28","2010","2010","0.843","6.75","72","154","Very Long","Action","Action, Comedy, Crime","police investigation, land theft, land mafia","https://image.tmdb.org/t/p/w500/g7bsLSuEg3FuCY1o7uSzbxMUJLB.jpg","False"
"505951","Kannum Kannum Kollaiyadithaal","கண்ணும் கண்ணும் கொள்ளையடித்தால்","Two wily online scammers mend their fraudulent ways after meeting the girls of their dreams — until a deceitful discovery throws their world for a loop.","Tamil","2020-02-28","2020","2020","0.6465","6.823","79","162","Very Long","Romance","Romance, Comedy, Drama","con artists","https://image.tmdb.org/t/p/w500/mwIdGye0iAmaHCBAqzfiHoRb0f2.jpg","False"
"329135","O Kadhal Kanmani","ஓ காதல் கண்மணி","Aadi and Tara fall in love but both hate the idea of marriage and plan to separate when their lives take them to different countries. However, as they grow closer, their emotions are not easily managed.","Tamil","2015-04-16","2015","2010","0.8185","7.0","68","139","Long","Romance","Romance, Drama","husband wife relationship, alzheimer's disease, love, open relationship, boyfriend girlfriend relationship, sexual relationship, live in relationship","https://image.tmdb.org/t/p/w500/dup1prHufHMpD3Z3MkCkbxCuFlI.jpg","False"
"38637","Vaaranam Aayiram","வாரணம் ஆயிரம்","A son deals with the death of his father and examines how their relationship influences him through growing up, romance, tragedy and adventure.","Tamil","2008-11-14","2008","2000","0.6947","7.28","75","169","Very Long","Drama","Drama, Romance","drug abuse, tragic love","https://image.tmdb.org/t/p/w500/3PxkiDTObsws7pzkdUiHCjOxVA4.jpg","False"
"362150","Vedalam","வேதாளம்","Ganesh, a cab driver and a doting brother to his sister Tamizh, is hunting down three notorious criminals in Kolkata. Who is he actually and what's his motive?","Tamil","2015-11-10","2015","2010","0.6359","5.858","53","156","Very Long","Action","Action","supernatural, revenge, double act, former gangster","https://image.tmdb.org/t/p/w500/cily2czYaIla7RoPQc8L1KO948e.jpg","False"
